100 Thieves;1;0;OpTic Gaming;PRE MSI
Clutch Gaming;1;0;Golden Guardians;PRE MSI
Echo Fox;1;0;FlyQuest;PRE MSI
Counter Logic Gaming;0;1;Cloud9;PRE MSI
OpTic Gaming;0;1;Team Liquid;PRE MSI
FlyQuest;1;0;Team SoloMid;PRE MSI
100 Thieves;1;0;Counter Logic Gaming;PRE MSI
Golden Guardians;0;1;Cloud9;PRE MSI
Echo Fox;1;0;Clutch Gaming;PRE MSI
Clutch Gaming;1;0;Counter Logic Gaming;PRE MSI
Team SoloMid;1;0;OpTic Gaming;PRE MSI
Cloud9;0;1;Echo Fox;PRE MSI
100 Thieves;1;0;Team Liquid;PRE MSI
Golden Guardians;0;1;FlyQuest;PRE MSI
Echo Fox;1;0;Team SoloMid;PRE MSI
Cloud9;1;0;100 Thieves;PRE MSI
OpTic Gaming;1;0;FlyQuest;PRE MSI
Golden Guardians;0;1;Counter Logic Gaming;PRE MSI
Team Liquid;1;0;Clutch Gaming;PRE MSI
Counter Logic Gaming;1;0;Echo Fox;PRE MSI
Cloud9;1;0;OpTic Gaming;PRE MSI
Clutch Gaming;0;1;100 Thieves;PRE MSI
FlyQuest;0;1;Team Liquid;PRE MSI
Team SoloMid;1;0;Golden Guardians;PRE MSI
Echo Fox;1;0;OpTic Gaming;PRE MSI
100 Thieves;0;1;Team SoloMid;PRE MSI
Golden Guardians;0;1;Team Liquid;PRE MSI
Clutch Gaming;0;1;Cloud9;PRE MSI
Counter Logic Gaming;1;0;FlyQuest;PRE MSI
Team SoloMid;0;1;Clutch Gaming;PRE MSI
Team Liquid;0;1;Cloud9;PRE MSI
OpTic Gaming;1;0;Counter Logic Gaming;PRE MSI
100 Thieves;0;1;FlyQuest;PRE MSI
Echo Fox;1;0;Golden Guardians;PRE MSI
Cloud9;1;0;FlyQuest;PRE MSI
100 Thieves;0;1;Golden Guardians;PRE MSI
Team SoloMid;1;0;Counter Logic Gaming;PRE MSI
Team Liquid;0;1;Echo Fox;PRE MSI
OpTic Gaming;0;1;Clutch Gaming;PRE MSI
Counter Logic Gaming;0;1;Team Liquid;PRE MSI
Echo Fox;1;0;100 Thieves;PRE MSI
Cloud9;1;0;Team SoloMid;PRE MSI
Clutch Gaming;1;0;FlyQuest;PRE MSI
OpTic Gaming;1;0;Golden Guardians;PRE MSI
Clutch Gaming;1;0;Team SoloMid;PRE MSI
Golden Guardians;1;0;Team Liquid;PRE MSI
Echo Fox;1;0;Cloud9;PRE MSI
100 Thieves;1;0;Counter Logic Gaming;PRE MSI
FlyQuest;1;0;OpTic Gaming;PRE MSI
100 Thieves;1;0;Cloud9;PRE MSI
Counter Logic Gaming;0;1;Clutch Gaming;PRE MSI
Team SoloMid;1;0;Echo Fox;PRE MSI
Golden Guardians;0;1;OpTic Gaming;PRE MSI
Team Liquid;1;0;FlyQuest;PRE MSI
OpTic Gaming;0;1;Team SoloMid;PRE MSI
FlyQuest;0;1;100 Thieves;PRE MSI
Echo Fox;1;0;Team Liquid;PRE MSI
Counter Logic Gaming;0;1;Golden Guardians;PRE MSI
Cloud9;1;0;Clutch Gaming;PRE MSI
Team Liquid;1;0;100 Thieves;PRE MSI
Team SoloMid;1;0;FlyQuest;PRE MSI
Counter Logic Gaming;1;0;Cloud9;PRE MSI
Golden Guardians;1;0;Echo Fox;PRE MSI
Clutch Gaming;1;0;OpTic Gaming;PRE MSI
Counter Logic Gaming;1;0;Team Liquid;PRE MSI
OpTic Gaming;0;1;Echo Fox;PRE MSI
100 Thieves;1;0;Team SoloMid;PRE MSI
Cloud9;1;0;Golden Guardians;PRE MSI
FlyQuest;0;1;Clutch Gaming;PRE MSI
Clutch Gaming;1;0;Echo Fox;PRE MSI
FlyQuest;0;1;Counter Logic Gaming;PRE MSI
OpTic Gaming;0;1;Cloud9;PRE MSI
Team SoloMid;1;0;Team Liquid;PRE MSI
100 Thieves;1;0;Golden Guardians;PRE MSI
Echo Fox;0;1;Counter Logic Gaming;PRE MSI
FlyQuest;1;0;Golden Guardians;PRE MSI
Clutch Gaming;0;1;Team Liquid;PRE MSI
Cloud9;0;1;Team SoloMid;PRE MSI
OpTic Gaming;0;1;100 Thieves;PRE MSI
100 Thieves;1;0;Clutch Gaming;PRE MSI
FlyQuest;0;1;Echo Fox;PRE MSI
Team Liquid;1;0;Cloud9;PRE MSI
Golden Guardians;0;1;Team SoloMid;PRE MSI
Counter Logic Gaming;0;1;OpTic Gaming;PRE MSI
Cloud9;0;1;FlyQuest;PRE MSI
Golden Guardians;0;1;Clutch Gaming;PRE MSI
Counter Logic Gaming;0;1;Team SoloMid;PRE MSI
100 Thieves;1;0;Echo Fox;PRE MSI
Team Liquid;1;0;OpTic Gaming;PRE MSI
100 Thieves;1;0;Echo Fox;PRE MSI
Team Liquid;1;0;Cloud9;PRE MSI
Team SoloMid;1;0;Clutch Gaming;PRE MSI
Team Liquid;0;1;Team SoloMid;PRE MSI
Cloud9;1;0;Clutch Gaming;PRE MSI
Rainbow7;0;1;Predators eSports;PRE MSI
Gaming Gaming;0;1;Infinity eSports;PRE MSI
6Sense;1;0;Zaga Talent Gaming;PRE MSI
Rainbow7;1;0;Infinity eSports;PRE MSI
Dash9 Gaming;1;0;Zaga Talent Gaming;PRE MSI
Gaming Gaming;0;1;Predators eSports;PRE MSI
6Sense;0;1;Rainbow7;PRE MSI
Predators eSports;1;0;Zaga Talent Gaming;PRE MSI
6Sense;0;1;Dash9 Gaming;PRE MSI
Predators eSports;1;0;6Sense;PRE MSI
Zaga Talent Gaming;1;0;Gaming Gaming;PRE MSI
Infinity eSports;1;0;Dash9 Gaming;PRE MSI
Infinity eSports;1;0;Predators eSports;PRE MSI
